designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 604943261719783552,604943261719783552,133.11329244158475,11.946148224951125,1.068844201077541,8.724530493634939,-18.31116712040886,1.0499133,18.974333,2.4324036,1.3321972,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3263.77,4.6291,-1.1,391.0306,0.0284,0.0185,0.0116
Gaia DR3 604943291783363840,604943291783363840,133.12986622303848,11.9604008551031,1.061369341598028,-10.900479378557659,-3.0684730759457732,1.1714822,15.9113455,1.2142239,0.5316572,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4801.023,4.6034,0.0838,790.3033,0.1396,0.1093,0.0574
Gaia DR3 604943364799001472,604943364799001472,133.09423297471884,11.952857114967669,0.5714023304784607,-8.925791793784963,0.8650672035287799,1.0269941,19.704712,2.193142,1.1714458,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943364800692992,604943364800692992,133.1011882555762,11.940531440830316,,,,,21.474638,0.3113098,-1.3265152,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943394862576384,604943394862576384,133.08187444948265,11.948906394447782,1.3247688756910772,-10.72253620852502,-2.8187800637783456,1.0254607,18.553207,2.2434883,1.1940632,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3449.3508,4.5894,-1.3447,407.253,0.347,0.2352,0.1351
Gaia DR3 604943399158742656,604943399158742656,133.07728652194314,11.945999418378419,0.524086433588329,-2.6311449312767055,1.7536688115893575,1.0128669,19.476744,2.1541786,1.1075497,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943433520098432,604943433520098432,133.0899698867872,11.95735423763961,1.1318515780002567,-10.894541033594024,-3.1410505982139347,1.0091182,15.275958,1.031457,0.43185425,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5215.9946,4.6113,0.0104,766.3473,0.1294,0.1047,0.0554
Gaia DR3 604943497945664512,604943497945664512,133.11926168573888,11.959939423359867,0.9667688381458596,-11.940409715591198,4.733860567160266,0.9915662,20.404385,1.9507847,0.9113331,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943502237949952,604943502237949952,133.12614606244156,11.963421348102308,0.25583033705585245,0.2157067683642092,-6.087344545149381,1.0305444,15.404832,1.114192,0.4761486,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4996.988,3.684,-0.1023,2196.299,0.163,0.1302,0.0691
Gaia DR3 604943502239574400,604943502239574400,133.12166955046396,11.962420664573258,0.23172586442525936,0.7842859493115115,-7.395206749943749,1.0104179,19.197231,0.7050419,0.29343796,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943532301533952,604943532301533952,133.1068301656595,11.965282107588985,3.520722356645106,-9.711225983844397,-41.26682932337209,1.021489,18.115252,2.8261204,1.6343536,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3367.7803,4.9343,-0.2282,277.3829,0.8668,0.5549,0.3581
